idx,code,era,kpit,kbb,wpa,re24,whip
65,53833,2.52,0.053,2.64,0.151,1.89,1.107
66,53913,1.83,0.074,4.826,0.12,1.33,1.064
67,53927,5.42,0.053,1.789,-0.201,-0.92,1.438
68,60140,5.85,0.054,2.395,0.008,0.3,1.647
69,60263,4.76,0.042,1.659,-0.001,0.33,1.478
70,60339,5.54,0.038,1.583,0.001,0.56,1.731
71,60559,4.23,0.059,2.222,0.004,0.47,1.33
72,60768,4.62,0.043,2.779,0.007,0.56,1.365
73,60841,4.51,0.044,1.745,0.005,0.33,1.573
74,61101,4.66,0.047,2.0,-0.007,0.31,1.506
75,61145,5.04,0.038,0.924,-0.002,0.04,1.696
76,61214,5.13,0.032,1.158,0.0,0.2,1.76
77,61240,4.25,0.056,4.231,0.067,1.33,1.474
78,61268,2.63,0.041,2.138,0.017,0.56,1.189
79,61365,5.66,0.032,1.514,0.0,0.14,1.661
80,61643,7.16,0.036,1.576,-0.028,-1.45,1.812
81,61666,5.56,0.045,1.595,-0.043,-0.34,1.782
82,62360,4.87,0.043,1.969,0.006,0.56,1.587
83,62363,4.88,0.043,2.197,-0.021,0.31,1.57
84,62528,6.4,0.05,1.855,-0.023,-0.175,1.789
85,62611,4.2,0.029,0.929,0.001,0.145,1.723
86,62698,3.71,0.065,5.385,0.08,0.67,1.224
87,62754,5.13,0.044,2.527,-0.018,0.33,1.535
88,62869,4.04,0.047,2.797,0.003,0.56,1.321
89,62920,7.16,0.054,1.241,-0.01,-0.4,2.02
90,62937,6.71,0.032,2.333,-0.001,0.11,1.643
91,62951,5.17,0.025,0.917,0.0,0.24,1.648
92,62966,8.44,0.025,0.818,-0.007,-0.04,2.009
93,63111,4.22,0.034,1.192,-0.054,-0.23,1.65
94,63145,4.24,0.044,1.63,0.0,0.55,1.545
95,63248,3.83,0.056,2.619,0.014,0.505,1.42
96,63292,5.64,0.03,1.138,-0.008,-0.15,1.681
97,63464,5.65,0.041,2.059,0.002,0.375,1.601
98,63938,4.98,0.044,1.971,-0.116,-0.05,1.539
99,63950,10.76,0.032,1.182,0.0,-0.42,2.171
100,63991,3.61,0.039,2.714,0.018,0.455,1.37
101,64001,3.52,0.055,5.871,0.061,0.89,1.265
102,64017,3.28,0.039,2.0,0.007,0.56,1.301
